well	strain	sample_name	time_point	target_name	ct	ct_mean	ct_sd	quantity	quantity_mean	quantity_sd
C11	B6	B6_10	24	mE1A	20.87417221	20.9161129	0.036429245	1287826.375	1254070.625	29316.41797
D1	B6	B6_11	24	mE1A	20.87109947	20.95007515	0.06840235	1290352	1227768.375	54203.67578
D2	B6	B6_11	24	mE1A	20.99049377	20.95007515	0.06840235	1195767.875	1227768.375	54203.67578
D3	B6	B6_11	24	mE1A	20.98863602	20.95007515	0.06840235	1197185.125	1227768.375	54203.67578
D4	B6	B6_12	24	mE1A	21.08660507	21.0488224	0.034697704	1124690	1152301.375	25405.625
D5	B6	B6_12	24	mE1A	21.01838684	21.0488224	0.034697704	1174689.375	1152301.375	25405.625
D6	B6	B6_12	24	mE1A	21.04147339	21.0488224	0.034697704	1157524.5	1152301.375	25405.625
D1	Atc	Atc_13	24	mE1A	18.91244316	19.02087402	0.161756232	4161696.25	3909532	371895.4063
E1	Atc	Atc_13	24	mE1A	18.94338226	19.02087402	0.161756232	4084474.75	3909532	371895.4063
F1	Atc	Atc_13	24	mE1A	19.20679855	19.02087402	0.161756232	3482424.75	3909532	371895.4063
D2	Atc	Atc_14	24	mE1A	19.63832283	19.44197273	0.207599938	2681823.75	3036336.75	384384.1875
E2	Atc	Atc_14	24	mE1A	19.46289063	19.44197273	0.207599938	2982310.75	3036336.75	384384.1875
F2	Atc	Atc_14	24	mE1A	19.22470665	19.44197273	0.207599938	3444875.75	3036336.75	384384.1875
D3	Atc	Atc_15	24	mE1A	19.08004189	19.07546234	0.01141745	3760167.5	3770663.75	26107.30859
E3	Atc	Atc_15	24	mE1A	19.06246758	19.07546234	0.01141745	3800385.5	3770663.75	26107.30859
F3	Atc	Atc_15	24	mE1A	19.08388138	19.07546234	0.01141745	3751438	3770663.75	26107.30859
D7	Atc	Atc_16	48	mE1A	19.0395298	18.93890572	0.087145649	3853525	4099319	212872.2188
E7	Atc	Atc_16	48	mE1A	18.88784981	18.93890572	0.087145649	4224119.5	4099319	212872.2188
F7	Atc	Atc_16	48	mE1A	18.88933945	18.93890572	0.087145649	4220312	4099319	212872.2188
D8	Atc	Atc_17	48	mE1A	18.99965668	19.05908203	0.127796173	3947673	3815676.25	288682.5
E8	Atc	Atc_17	48	mE1A	19.20577049	19.05908203	0.127796173	3484592.75	3815676.25	288682.5
F8	Atc	Atc_17	48	mE1A	18.97181892	19.05908203	0.127796173	4014763.5	3815676.25	288682.5
D9	Atc	Atc_18	48	mE1A	19.07157707	19.11481667	0.037656717	3779485.5	3682479.25	84464.32813
E9	Atc	Atc_18	48	mE1A	19.13245773	19.11481667	0.037656717	3642727	3682479.25	84464.32813
F9	Atc	Atc_18	48	mE1A	19.14041328	19.11481667	0.037656717	3625225.5	3682479.25	84464.32813
G1	Atc	Atc_19	72	mE1A	20.31391525	20.08905602	0.195391089	1781603.25	2050722	234025.2344
G2	Atc	Atc_19	72	mE1A	19.99264717	20.08905602	0.195391089	2164089.5	2050722	234025.2344
G3	Atc	Atc_19	72	mE1A	19.96060753	20.08905602	0.195391089	2206473.5	2050722	234025.2344
G4	Atc	Atc_20	72	mE1A	20.2686615	20.20250893	0.075728945	1831085.5	1907244.375	88032.19531
G5	Atc	Atc_20	72	mE1A	20.2189579	20.20250893	0.075728945	1887018.375	1907244.375	88032.19531
G6	Atc	Atc_20	72	mE1A	20.11990738	20.20250893	0.075728945	2003629.375	1907244.375	88032.19531
G7	Atc	Atc_21	72	mE1A	19.5839386	19.61859703	0.038195644	2771585.75	2714525.25	62587.67969
G8	Atc	Atc_21	72	mE1A	19.65954781	19.61859703	0.038195644	2647585.5	2714525.25	62587.67969
G9	Atc	Atc_21	72	mE1A	19.61230087	19.61859703	0.038195644	2724404.75	2714525.25	62587.67969
D4	B6	B6_13	24	mE1A	19.55690765	19.57071877	0.070693672	2817312.25	2795554.25	118887.4766
E4	B6	B6_13	24	mE1A	19.64729881	19.57071877	0.070693672	2667290.75	2795554.25	118887.4766
F4	B6	B6_13	24	mE1A	19.50794983	19.57071877	0.070693672	2902060.25	2795554.25	118887.4766
D5	B6	B6_14	24	mE1A	19.07419968	19.00175858	0.066001736	3773489.75	3944743.75	156518.8125
E5	B6	B6_14	24	mE1A	18.98604012	19.00175858	0.066001736	3980348.5	3944743.75	156518.8125
